report_id,fight_id,player_id,fight_start,fight_end,chaos_strike,annihilation,agility,mastery,critical,haste,ver,with_eoc
Xh2fWD1Bj6kqVaM4,2,21,349101,507647,0.593407,0.655556,52636,3886,18194,7579,2271,1
yMg89vHXKWJYB6nf,1,8,20,164990,0.707547,0.712766,41782,4281,18225,6857,4628,1
CjhyWMvBt2VK3rbY,1,19,0,156357,0.000000,0.000000,39313,5873,17498,9585,2004,0
QyH9gVB6b8j7cGF1,2,21,449261,617964,0.525424,0.563218,45679,3595,16318,8097,4773,1
VtDYyKLNp3FP1Wwr,1,18,19210,181513,0.603960,0.556818,42207,7771,15295,6021,3030,0
n17v8hcxRBz2CtYd,3,32,797921,958614,0.000000,0.000000,42173,4381,16541,7348,1977,0
b3rVQh7xwAC6DvHt,2,16,459242,626570,0.000000,0.000000,41879,6101,17765,7781,3147,1
vYT3cXnZxWRyQj6G,1,15,107552,297205,0.000000,0.000000,42042,5430,17489,6901,3288,0
Nm13bcWf9RYMAxrJ,3,45,663990,835877,0.590909,0.720000,42846,3795,16881,10052,3625,1
CHZpmGh3jbqzBM74,2,17,284588,478378,0.616438,0.666667,42348,2043,18693,8884,1954,1
TKNMgfwQVqYLJra4,1,13,304753,469051,0.550847,0.591398,42899,5358,17221,10890,2147,1
A62cQ9d7bary1FCZ,1,1,66286,237493,0.626016,0.436782,42202,2569,17768,9786,3184,1
cbN2XTtkL3ndAHMK,1,23,341264,519776,0.587786,0.659091,39338,6374,16832,6928,2240,0
Zd9vA6Qzxh2L3KC4,1,6,0,188329,0.000000,0.000000,47920,4436,17669,6926,1946,1
Dp21GRykLdPZjQmB,2,11,866379,1043180,0.401786,0.531250,44858,3233,15164,10395,2065,1
4vMX8wkJYzTdaDpB,2,13,300784,466878,0.000000,0.000000,44901,2684,19477,5544,3916,1
JQWZRdMVFcNgq3HD,2,8,419144,585797,0.630000,0.652174,42325,3071,18446,7278,3211,1
yXtfTcYWG3Mk94Nb,2,21,407885,582447,0.580645,0.500000,37524,4733,16738,8101,5344,0
QGJBvWVb4PcA2Rkw,2,20,494439,664208,0.343750,0.652174,42607,3256,15437,8006,3416,0
qvwKLraWXyD9Qxch,3,6,420597,600720,0.000000,0.000000,37937,2042,16258,9919,3134,0
xW9hwrPkHQGTqj68,4,56,1430750,1594256,0.000000,0.000000,42607,6668,17876,5965,1048,1
1w2rV7JmKMAnL9yD,1,19,75058,264408,0.528302,0.769231,41186,3232,17891,8359,2874,1
N9v4Zk7jCaA6hw2F,1,18,116546,301314,0.577586,0.633663,41179,3116,17130,8553,3803,1
FQhp7YCzfZd6Gk1r,1,18,0,168863,0.000000,0.000000,42086,4610,17045,5594,3134,0
bfKWHZrh2L6aCkxy,1,14,0,184965,0.000000,0.000000,41770,2095,18544,7348,4291,1
